word,cefr
bringen,A1
1960,A1
alles,A1
gleich,A1
erbaut,A1
auflage,A1
neuer,A1
1939,A1
1978,A1
liebe,A1
erklärt,A1
aufgabe,A1
solche,A1
obwohl,A1
verlauf,A1
stimmen,A1
erweitert,A1
welcher,A1
nahe,A1
1950,A1
24,A1
fenster,A1
informationen,A1
themen,A1
weibchen,A1
leiter,A1
1982,A1
1975,A1
meister,A1
abschnitt,A1
ganze,A1
kosten,A1
1944,A1
vaters,A1
junge,A1
schon,A1
geprägt,A1
dienst,A1
situation,A1
führten,A1
punkten,A1
jetzt,A1
mädchen,A1
organisation,A1
verfahren,A1
person,A1
sah,A1
berliner,A1
bekam,A1
damaligen,A1
thomas,A1
kleiner,A1
schulen,A1
ergebnis,A1
europäischen,A1
abschluss,A1
benannt,A1
stammen,A1
nacht,A1
siedlung,A1
opfer,A1
hervor,A1
1983,A1
dem,A1
vereinigten,A1
11,A1
sammlung,A1
tore,A1
gewinnen,A1
tragen,A1
britischen,A1
1970er,A1
aber,A1
familien,A1
park,A1
genau,A1
interesse,A1
recht,A1
studium,A1
zentimeter,A1
wort,A1
belegte,A1
folgt,A1
daten,A1
körper,A1
häuser,A1
neues,A1
9,A1
trug,A1
folgen,A1
entlang,A1
finale,A1
verwaltung,A1
forschung,A1
1968,A1
angeboten,A1
1946,A1
1969,A1
standen,A1
1973,A1
jedem,A1
zuge,A1
bewohner,A1
arbeitet,A1
historischen,A1
unterschiedlichen,A1
80,A1
ehefrau,A1
unterstützt,A1
kloster,A1
beschrieben,A1
zuletzt,A1
1900,A1
500,A1
früheren,A1
1979,A1
zusammenarbeit,A1
1980er,A1
lied,A1
juden,A1
wollen,A1
entspricht,A1
1981,A1
aufgaben,A1
schwester,A1
sogenannten,A1
führung,A1
weiteres,A1
zeigte,A1
1938,A1
1990er,A1
fc,A1
kritik,A1
roman,A1
kg,A1
dargestellt,A1
leistung,A1
erhielten,A1
martin,A1
teilen,A1
laut,A1
nachfolger,A1
1965,A1
hätten,A1
könne,A1
versuchte,A1
jede,A1
oberen,A1
scheint,A1
öffentlichkeit,A1
a,A1
frühjahr,A1
landwirtschaft,A1
rückkehr,A1
i,A1
1976,A1
tritt,A1
fort,A1
heimat,A1
gute,A1
